"","x"
"1","slightly agree"
"2","neutral"
"3","strongly agree"
"4","slightly agree"
"5","disagree"
"6","disagree"
"7","strongly agree"
"8","strongly agree"
"9","strongly agree"
"10","agree"
"11","agree"
"12","slightly agree"
"13","strongly agree"
"14","slightly disagree"
"15","strongly disagree"
"16","agree"
"17","strongly agree"
"18","slightly agree"
"19","strongly agree"
"20","strongly disagree"
"21","strongly agree"
"22","strongly agree"
"23","strongly agree"
"24","disagree"
"25","slightly agree"
"26","strongly disagree"
"27","agree"
"28","slightly agree"
"29","neutral"
"30","slightly agree"
"31","strongly agree"
"32","agree"
"33","agree"
"34","agree"
"35","agree"
"36","disagree"
"37","slightly disagree"
"38","strongly agree"
"39","slightly agree"
"40","slightly disagree"
"41","disagree"
"42","strongly disagree"
"43","strongly agree"
"44","strongly agree"
"45","strongly disagree"
"46","agree"
"47","slightly agree"
"48","agree"
"49","disagree"
"50","strongly agree"
"51","agree"
"52","strongly agree"
"53","agree"
"54","strongly agree"
"55","slightly disagree"
"56","slightly agree"
"57","strongly disagree"
"58","strongly agree"
"59","strongly agree"
"60","disagree"
"61","agree"
"62","strongly agree"
"63","neutral"
"64","strongly agree"
"65","slightly agree"
"66","agree"
"67","disagree"
"68","slightly agree"
"69","strongly agree"
"70","slightly agree"
"71","disagree"
"72","slightly disagree"
"73","agree"
"74","agree"
"75","neutral"
"76","slightly disagree"
"77","strongly agree"
"78","strongly agree"
"79","slightly agree"
"80","disagree"
"81","strongly disagree"
"82","disagree"
"83","agree"
"84","slightly disagree"
"85","strongly agree"
"86","strongly agree"
"87","disagree"
"88","disagree"
"89","slightly agree"
"90","strongly agree"
"91","disagree"
"92","strongly disagree"
"93","agree"
"94","strongly agree"
"95","strongly disagree"
"96","slightly disagree"
"97","neutral"
"98","strongly agree"
"99","disagree"
"100","disagree"
"101","slightly agree"
"102","disagree"
"103","strongly disagree"
"104","disagree"
"105","strongly agree"
"106","neutral"
"107","strongly disagree"
"108","disagree"
"109","disagree"
"110","strongly agree"
"111","agree"
"112","slightly agree"
"113","disagree"
"114","strongly agree"
"115","neutral"
"116","slightly agree"
"117","agree"
"118","neutral"
"119","neutral"
"120","slightly agree"
"121","strongly agree"
"122","strongly disagree"
"123","strongly agree"
"124","agree"
"125","strongly disagree"
"126","agree"
"127","slightly agree"
"128","slightly disagree"
"129","strongly agree"
"130","agree"
"131","strongly agree"
"132","strongly agree"
"133","strongly disagree"
"134","slightly agree"
"135","slightly disagree"
"136","strongly agree"
"137","disagree"
"138","neutral"
"139","neutral"
"140","slightly agree"
"141","slightly agree"
"142","strongly agree"
"143","strongly agree"
"144","disagree"
"145","strongly disagree"
"146","agree"
"147","strongly agree"
"148","slightly agree"
"149","slightly agree"
"150","strongly agree"
"151","agree"
"152","strongly disagree"
"153","disagree"
"154","strongly disagree"
"155","neutral"
"156","strongly disagree"
"157","disagree"
"158","strongly agree"
"159","neutral"
"160","slightly disagree"
"161","strongly agree"
"162","slightly agree"
"163","neutral"
"164","agree"
"165","disagree"
"166","slightly agree"
"167","strongly agree"
"168","slightly disagree"
"169","strongly agree"
"170","neutral"
"171","agree"
"172","neutral"
"173","strongly disagree"
"174","slightly agree"
"175","agree"
"176","agree"
"177","agree"
"178","strongly disagree"
"179","slightly disagree"
"180","strongly agree"
"181","slightly agree"
"182","strongly agree"
"183","disagree"
"184","slightly agree"
"185","neutral"
"186","agree"
"187","strongly agree"
"188","slightly agree"
"189","neutral"
"190","disagree"
"191","slightly agree"
"192","strongly agree"
"193","agree"
"194","strongly agree"
"195","strongly agree"
"196","strongly agree"
"197","strongly agree"
"198","strongly agree"
"199","neutral"
"200","slightly agree"
"201","strongly agree"
"202","agree"
"203","strongly disagree"
"204","agree"
"205","disagree"
"206","strongly disagree"
"207","strongly disagree"
"208","strongly agree"
"209","slightly agree"
"210","agree"
"211","agree"
"212","strongly agree"
"213","strongly agree"
"214","agree"
"215","disagree"
"216","agree"
"217","strongly agree"
"218","slightly disagree"
"219","agree"
"220","strongly agree"
"221","slightly agree"
"222","disagree"
"223","agree"
"224","strongly agree"
"225","agree"
"226","agree"
"227","strongly disagree"
"228","strongly agree"
"229","slightly agree"
"230","strongly disagree"
"231","strongly agree"
"232","strongly agree"
"233","strongly agree"
"234","slightly agree"
"235","disagree"
"236","slightly agree"
"237","slightly disagree"
"238","strongly disagree"
"239","strongly agree"
"240","agree"
"241","neutral"
"242","agree"
"243","strongly disagree"
"244","slightly agree"
"245","slightly agree"
"246","strongly agree"
"247","slightly disagree"
"248","strongly disagree"
"249","slightly agree"
"250","disagree"
"251","strongly disagree"
"252","strongly agree"
"253","strongly agree"
"254","slightly agree"
"255","slightly disagree"
"256","slightly agree"
"257","strongly disagree"
"258","agree"
"259","strongly disagree"
"260","strongly agree"
"261","agree"
"262","strongly disagree"
"263","slightly agree"
"264","slightly agree"
"265","agree"
"266","strongly agree"
"267","slightly agree"
"268","strongly agree"
"269","agree"
"270","strongly agree"
"271","slightly agree"
"272","disagree"
"273","disagree"
"274","strongly agree"
"275","strongly agree"
"276","slightly agree"
"277","disagree"
"278","disagree"
"279","slightly agree"
"280","strongly disagree"
"281","slightly agree"
"282","agree"
"283","neutral"
"284","slightly agree"
"285","neutral"
"286","strongly agree"
"287","strongly disagree"
"288","agree"
"289","slightly agree"
"290","strongly agree"
"291","strongly agree"
"292","disagree"
"293","agree"
"294","strongly disagree"
"295","strongly agree"
"296","disagree"
"297","slightly agree"
"298","neutral"
"299","slightly agree"
"300","agree"
"301","slightly agree"
"302","slightly agree"
"303","strongly agree"
"304","disagree"
"305","agree"
"306","strongly disagree"
"307","strongly agree"
"308","agree"
"309","agree"
"310","neutral"
"311","disagree"
"312","agree"
"313","strongly disagree"
"314","strongly agree"
"315","strongly agree"
"316","slightly disagree"
"317","slightly agree"
"318","neutral"
"319","strongly disagree"
"320","disagree"
"321","strongly agree"
"322","strongly disagree"
"323","slightly agree"
"324","agree"
"325","slightly disagree"
"326","strongly agree"
"327","strongly agree"
"328","slightly disagree"
"329","strongly agree"
"330","strongly agree"
"331","agree"
"332","disagree"
"333","agree"
"334","strongly disagree"
"335","strongly disagree"
"336","agree"
"337","slightly agree"
"338","agree"
"339","agree"
"340","strongly agree"
"341","strongly agree"
"342","agree"
"343","slightly agree"
"344","disagree"
"345","strongly disagree"
"346","agree"
"347","slightly disagree"
"348","neutral"
"349","disagree"
"350","slightly agree"
"351","strongly agree"
"352","agree"
"353","strongly agree"
"354","strongly agree"
"355","neutral"
"356","strongly disagree"
"357","slightly agree"
"358","strongly agree"
"359","disagree"
"360","strongly agree"
"361","slightly agree"
"362","slightly disagree"
"363","strongly agree"
"364","slightly agree"
"365","neutral"
"366","strongly agree"
"367","neutral"
"368","strongly agree"
"369","agree"
"370","strongly agree"
"371","strongly agree"
"372","slightly agree"
"373","agree"
"374","agree"
"375","disagree"
"376","slightly agree"
"377","slightly disagree"
"378","slightly agree"
"379","strongly agree"
"380","neutral"
"381","slightly agree"
"382","slightly agree"
"383","strongly agree"
"384","slightly disagree"
"385","agree"
"386","neutral"
"387","strongly agree"
"388","strongly agree"
"389","agree"
"390","agree"
"391","slightly agree"
"392","slightly disagree"
"393","agree"
"394","neutral"
"395","strongly agree"
"396","strongly agree"
"397","agree"
"398","slightly agree"
"399","slightly disagree"
"400","agree"
"401","agree"
"402","strongly disagree"
"403","strongly agree"
"404","disagree"
"405","strongly disagree"
"406","strongly agree"
"407","agree"
"408","slightly agree"
"409","agree"
"410","slightly agree"
"411","agree"
"412","strongly agree"
"413","slightly disagree"
"414","strongly agree"
"415","neutral"
"416","strongly disagree"
"417","strongly disagree"
"418","slightly agree"
"419","strongly agree"
"420","agree"
"421","neutral"
"422","agree"
"423","disagree"
"424","disagree"
"425","disagree"
"426","agree"
"427","strongly disagree"
"428","strongly agree"
"429","slightly agree"
"430","slightly disagree"
"431","strongly disagree"
"432","agree"
"433","strongly agree"
"434","disagree"
"435","strongly agree"
"436","agree"
"437","agree"
"438","strongly disagree"
"439","agree"
"440","strongly agree"
"441","disagree"
"442","neutral"
"443","disagree"
"444","disagree"
"445","neutral"
"446","strongly agree"
"447","neutral"
"448","slightly agree"
"449","agree"
"450","strongly agree"
"451","strongly agree"
"452","strongly agree"
"453","agree"
"454","neutral"
"455","neutral"
"456","strongly disagree"
"457","agree"
"458","agree"
"459","strongly disagree"
"460","slightly disagree"
"461","disagree"
"462","agree"
"463","slightly agree"
"464","agree"
"465","strongly agree"
